canonical_id,domain,authority_version,claimed_by_prs,legacy_aliases,traceability_state
DOC-068,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-069,Doctor Mobile,v1,#241,,CLAIMED_BY_ACTIVE_PR
DOC-070,Doctor Mobile,v1,#241,,CLAIMED_BY_ACTIVE_PR
DOC-071,Doctor Mobile,v1,#241,,CLAIMED_BY_ACTIVE_PR
DOC-072,Doctor Mobile,v1,#241,,CLAIMED_BY_ACTIVE_PR
DOC-073,Doctor Mobile,v1,#243,,CLAIMED_BY_ACTIVE_PR
DOC-074,Doctor Mobile,v1,#243,,CLAIMED_BY_ACTIVE_PR
DOC-075,Doctor Mobile,v1,#243,,CLAIMED_BY_ACTIVE_PR
DOC-076,Doctor Mobile,v1,#249,,CLAIMED_BY_ACTIVE_PR
DOC-077,Doctor Mobile,v1,#252,,CLAIMED_BY_ACTIVE_PR
DOC-078,Doctor Mobile,v1,#255,PRELIM-2026-09-18:DOC-018,CLAIMED_BY_ACTIVE_PR
DOC-079,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-080,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-081,Doctor Mobile,v1,#257,PRELIM-2026-09-18:DOC-024,CLAIMED_BY_ACTIVE_PR
DOC-082,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-083,Doctor Mobile,v1,#247,,CLAIMED_BY_ACTIVE_PR
DOC-084,Doctor Mobile,v1,#247,,CLAIMED_BY_ACTIVE_PR
DOC-085,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-086,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-087,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-088,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-089,Doctor Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
DOC-090,Doctor Mobile,v1,#228;#230;#267,PRELIM-2026-09-18:DOC-002,CLAIMED_BY_ACTIVE_PR
PRV-057,Other Provider Mobile,v1,#233;#236,,CLAIMED_BY_ACTIVE_PR
PRV-058,Other Provider Mobile,v1,#233;#236,,CLAIMED_BY_ACTIVE_PR
PRV-059,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-060,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-061,Other Provider Mobile,v1,#233;#236,,CLAIMED_BY_ACTIVE_PR
PRV-062,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-063,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-064,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-065,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-066,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-067,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-068,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-069,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-070,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-071,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-072,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-073,Other Provider Mobile,v1,#235;#236,,CLAIMED_BY_ACTIVE_PR
PRV-074,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-075,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-076,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-077,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-078,Other Provider Mobile,v1,#235;#236,,CLAIMED_BY_ACTIVE_PR
PRV-079,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-080,Other Provider Mobile,v1,#235;#236,,CLAIMED_BY_ACTIVE_PR
PRV-081,Other Provider Mobile,v1,#235;#236,,CLAIMED_BY_ACTIVE_PR
PRV-082,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-083,Other Provider Mobile,v1,#235;#236,,CLAIMED_BY_ACTIVE_PR
PRV-084,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-085,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-086,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-087,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-088,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-089,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-090,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
PRV-091,Other Provider Mobile,v1,#235;#236,,CLAIMED_BY_ACTIVE_PR
PRV-092,Other Provider Mobile,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-001,Backend,v1,#220,,CLAIMED_BY_ACTIVE_PR
BE-002,Backend,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
BE-003,Backend,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
BE-004,Backend,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
BE-005,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-006,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-007,Backend,v1,#227;#228,,CLAIMED_BY_ACTIVE_PR
BE-008,Backend,v1,#224,PRELIM-2026-09-18:DOC-008,CLAIMED_BY_ACTIVE_PR
BE-009,Backend,v1,#224,,CLAIMED_BY_ACTIVE_PR
BE-010,Backend,v1,#224,,CLAIMED_BY_ACTIVE_PR
BE-011,Backend,v1,#222,,CLAIMED_BY_ACTIVE_PR
BE-012,Backend,v1,#222,,CLAIMED_BY_ACTIVE_PR
BE-013,Backend,v1,#222,,CLAIMED_BY_ACTIVE_PR
BE-014,Backend,v1,#222,,CLAIMED_BY_ACTIVE_PR
BE-015,Backend,v1,#241,,CLAIMED_BY_ACTIVE_PR
BE-016,Backend,v1,#241,,CLAIMED_BY_ACTIVE_PR
BE-017,Backend,v1,#241,,CLAIMED_BY_ACTIVE_PR
BE-018,Backend,v1,#243,,CLAIMED_BY_ACTIVE_PR
BE-019,Backend,v1,#227;#228;#230,,CLAIMED_BY_ACTIVE_PR
BE-020,Backend,v1,#220;#238,,CLAIMED_BY_ACTIVE_PR
BE-021,Backend,v1,#220,,CLAIMED_BY_ACTIVE_PR
BE-022,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-023,Backend,v1,#245,,CLAIMED_BY_ACTIVE_PR
BE-024,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-025,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-026,Backend,v1,#238,,CLAIMED_BY_ACTIVE_PR
BE-027,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-028,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-029,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-030,Backend,v1,#235;#236,,CLAIMED_BY_ACTIVE_PR
BE-031,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-032,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-033,Backend,v1,#255,PRELIM-2026-09-18:BE-038,CLAIMED_BY_ACTIVE_PR
BE-034,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-035,Backend,v1,#252,,CLAIMED_BY_ACTIVE_PR
BE-036,Backend,v1,#249,,CLAIMED_BY_ACTIVE_PR
BE-037,Backend,v1,#257,,CLAIMED_BY_ACTIVE_PR
BE-038,Backend,v1,#247,,CLAIMED_BY_ACTIVE_PR
BE-039,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-040,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-041,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-042,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-043,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-044,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-045,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-046,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-047,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-048,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-049,Backend,v1,#220,,CLAIMED_BY_ACTIVE_PR
BE-050,Backend,v1,#220,,CLAIMED_BY_ACTIVE_PR
BE-051,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-052,Backend,v1,#220,,CLAIMED_BY_ACTIVE_PR
BE-053,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-054,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-055,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
BE-056,Backend,v1,,,UNCLAIMED_OR_NOT_RECONCILED
